concept_id,concept_name,concept_code,vocabulary_id
40485018,Acute sickle cell splenic sequestration crisis,444108000,SNOMED
4049095,Double heterozygous sickling disorder,23269001,SNOMED
26942,Hemoglobin SS disease with crisis,417425009,SNOMED
30683,Hemoglobin SS disease without crisis,416180004,SNOMED
4209085,Hemoglobin SS disease with vasoocclusive crisis,440206000,SNOMED
4216915,Hemoglobin S sickling disorder with crisis,417279003,SNOMED
4166115,Hemoglobin S sickling disorder without crisis,416290001,SNOMED
4131914,Sickle cell anemia with coexistent alpha-thalassemia,127045008,SNOMED
4121115,Sickle cell anemia with high hemoglobin F,234391009,SNOMED
4130068,Sickle cell-beta^0^-thalassemia,127043001,SNOMED
4130067,Sickle cell-beta-thalassemia,127041004,SNOMED
4131913,Sickle cell-delta beta^0^-thalassemia,127044007,SNOMED
4103763,Sickle cell-hemoglobin D disease,25472008,SNOMED
4167364,Sickle cell-hemoglobin D disease with crisis,417748003,SNOMED
4166099,Sickle cell-hemoglobin D disease without crisis,416214006,SNOMED
4264046,Sickle cell-hemoglobin E disease,47024008,SNOMED
4219568,Sickle cell-hemoglobin E disease with crisis,416484003,SNOMED
4211932,Sickle cell-hemoglobin E disease without crisis,416638004,SNOMED
4131126,Sickle cell-hemoglobin Lepore disease,127047000,SNOMED
4130190,Sickle cell-Hemoglobin O Arab disease,127048005,SNOMED
22281,Sickle cell-hemoglobin SS disease,127040003,SNOMED
315523,Sickle cell-thalassemia disease,36472007,SNOMED
443738,Sickle cell-thalassemia disease with crisis,416826005,SNOMED
321263,Sickle cell-thalassemia disease without crisis,417048006,SNOMED
4213628,Sickling disorder due to hemoglobin S,417357006,SNOMED
